Date,Open,High,Low,Close,Adj Close,Volume
"Nov 18, 2021",578.03,587.91,518.42,532.24,532.24,"2,917,116,815"
"Nov 17, 2021",589.33,593.11,554.32,578.09,578.09,"2,704,847,734"
"Nov 16, 2021",634.95,635.26,574.18,589.82,589.82,"3,772,957,260"
"Nov 15, 2021",650.94,660.04,631.94,633.05,633.05,"2,146,877,925"
"Nov 14, 2021",650.06,659.99,634.55,650.92,650.92,"2,101,401,990"
"Nov 13, 2021",627.08,655.32,620.59,650.10,650.10,"2,106,170,805"
"Nov 12, 2021",629.14,634.52,604.16,626.64,626.64,"2,209,163,398"
"Nov 11, 2021",615.46,634.84,606.41,629.89,629.89,"2,341,652,507"
"Nov 10, 2021",635.04,662.31,578.07,615.28,615.28,"3,653,998,344"
"Nov 09, 2021",654.00,657.04,632.33,635.19,635.19,"2,198,989,754"
"Nov 08, 2021",650.47,655.71,632.69,654.32,654.32,"2,828,112,534"
"Nov 07, 2021",638.19,669.35,632.08,650.45,650.45,"3,017,167,868"
"Nov 06, 2021",608.26,636.11,596.76,636.11,636.11,"2,779,927,044"
"Nov 05, 2021",559.39,615.58,555.06,608.65,608.65,"3,675,930,507"
"Nov 04, 2021",568.58,569.12,544.88,559.74,559.74,"2,260,479,871"
"Nov 03, 2021",554.56,570.26,538.53,568.58,568.58,"2,567,651,316"
"Nov 02, 2021",551.75,564.02,538.40,554.45,554.45,"2,401,108,112"
"Nov 01, 2021",524.74,552.07,512.18,551.26,551.26,"2,535,579,529"
"Oct 31, 2021",528.55,534.77,510.57,524.36,524.36,"2,076,289,915"
"Oct 30, 2021",529.82,539.94,511.93,527.92,527.92,"2,194,893,915"
"Oct 29, 2021",492.43,533.48,488.87,529.62,529.62,"2,667,451,365"
"Oct 28, 2021",448.89,494.91,447.62,492.02,492.02,"2,626,956,133"
"Oct 27, 2021",478.12,486.17,440.45,449.01,449.01,"2,340,091,135"
"Oct 26, 2021",484.71,489.77,475.29,478.03,478.03,"1,486,193,826"
"Oct 25, 2021",475.92,488.89,474.87,484.65,484.65,"1,337,787,876"
"Oct 24, 2021",485.99,486.80,468.20,476.63,476.63,"1,246,191,889"
"Oct 23, 2021",478.94,485.91,473.11,485.91,485.91,"1,170,864,603"
"Oct 22, 2021",470.96,498.01,470.96,478.64,478.64,"1,962,748,496"
